station_pair,time,delay,coherence,station1,station2
TX.PB01_TX.PB03,17.0,0.8037662948655026,0.8177089587816126,PB01,PB03
TX.PB01_TX.PB03,21.0,0.5716069732808188,0.8288199808646094,PB01,PB03
TX.PB01_TX.PB03,25.0,0.820869396793251,0.7793597228225468,PB01,PB03
TX.PB01_TX.PB03,29.0,-0.8840112929573789,0.7762868470333177,PB01,PB03
TX.PB01_TX.PB03,33.0,0.28428535017714046,0.783306314580985,PB01,PB03
TX.PB01_TX.PB03,37.0,0.25188075694096324,0.8204833165630766,PB01,PB03
TX.PB01_TX.PB03,41.0,0.2805765829862305,0.8466854112235008,PB01,PB03
TX.PB01_TX.PB03,45.0,0.26070255557941246,0.8141417770068091,PB01,PB03
TX.PB01_TX.PB03,49.0,-0.15893008687203547,0.8370214528764427,PB01,PB03
TX.PB01_TX.PB03,53.0,0.3100170029021998,0.8068583787363172,PB01,PB03
TX.PB01_TX.PB03,57.0,-0.4588747038054044,0.8130701286590739,PB01,PB03
TX.PB01_TX.PB04,29.0,0.11181822439925944,0.7616438547202172,PB01,PB04
TX.PB01_TX.PB04,33.0,-0.44691621386216623,0.8153752360708374,PB01,PB04
TX.PB01_TX.PB04,37.0,-0.04149435860507018,0.7897870030274668,PB01,PB04
TX.PB01_TX.PB04,41.0,0.12231189904740988,0.8363835407653775,PB01,PB04
TX.PB01_TX.PB04,45.0,0.2786220180318366,0.8031705472622488,PB01,PB04
TX.PB01_TX.PB04,49.0,0.5512996627336677,0.8409873343907314,PB01,PB04
TX.PB01_TX.PB04,53.0,-0.263299467257999,0.8224325872624851,PB01,PB04
TX.PB01_TX.PB04,57.0,-0.23184176665008047,0.8017463143185027,PB01,PB04
TX.PB01_TX.PB04,61.0,-0.1789196850724558,0.8330009381424801,PB01,PB04
TX.PB01_TX.PB04,65.0,-0.383976139409861,0.816696381878478,PB01,PB04
TX.PB01_TX.PB04,69.0,0.21676326528535028,0.8056389789008118,PB01,PB04
TX.PB01_TX.PB05,23.0,0.16016291735109547,0.814763997639778,PB01,PB05
TX.PB01_TX.PB05,27.0,0.2514783639967615,0.870906178128281,PB01,PB05
TX.PB01_TX.PB05,31.0,-0.06768196527863911,0.8221665589235921,PB01,PB05
TX.PB01_TX.PB05,35.0,-0.11666781929368412,0.8087356863689292,PB01,PB05
TX.PB01_TX.PB05,39.0,0.8840316149288181,0.7826530804599675,PB01,PB05
TX.PB01_TX.PB05,43.0,-0.5754461604193757,0.7864273664896307,PB01,PB05
TX.PB01_TX.PB05,47.0,-0.12258849048324284,0.8451535798257103,PB01,PB05
TX.PB01_TX.PB05,51.0,-0.36280178445098665,0.833547077171876,PB01,PB05
TX.PB01_TX.PB05,55.0,0.5373958973984039,0.8429166286915634,PB01,PB05
TX.PB01_TX.PB05,59.0,-0.4353627489877597,0.8384972408907637,PB01,PB05
TX.PB01_TX.PB05,63.0,-0.8541677651471667,0.79902372439942,PB01,PB05
TX.PB01_TX.PB06,49.0,-0.12563547526101063,0.8149519352952954,PB01,PB06
TX.PB01_TX.PB06,53.0,-0.4918027837964485,0.8729241621355676,PB01,PB06
