station_pair,time,delay,coherence,station1,station2
TX.PB01_TX.PB03,17.0,0.5929240955115777,0.8459803182512629,PB01,PB03
TX.PB01_TX.PB03,21.0,0.21737530947894887,0.7762536761707604,PB01,PB03
TX.PB01_TX.PB03,25.0,-0.06514785270151237,0.7633800790912794,PB01,PB03
TX.PB01_TX.PB03,29.0,-0.061138524898026576,0.810658849326077,PB01,PB03
TX.PB01_TX.PB03,33.0,0.7075566161385504,0.7851981280943511,PB01,PB03
TX.PB01_TX.PB03,37.0,0.1844805841968476,0.8368018575362339,PB01,PB03
TX.PB01_TX.PB03,41.0,0.2723050964575167,0.7690641299389335,PB01,PB03
TX.PB01_TX.PB03,45.0,-0.3492875505470778,0.7917851089940413,PB01,PB03
TX.PB01_TX.PB03,49.0,0.11149775284370536,0.8256197399787678,PB01,PB03
TX.PB01_TX.PB03,53.0,0.5630606922638843,0.8492342078657334,PB01,PB03
TX.PB01_TX.PB03,57.0,0.07096658623774817,0.824676596391409,PB01,PB03
TX.PB01_TX.PB04,29.0,0.6803459951005868,0.7508067468312709,PB01,PB04
TX.PB01_TX.PB04,33.0,-0.12181666759641892,0.8260123033458225,PB01,PB04
TX.PB01_TX.PB04,37.0,0.19234390033054025,0.8197479503885705,PB01,PB04
TX.PB01_TX.PB04,41.0,0.4489865204005936,0.8246701848496254,PB01,PB04
TX.PB01_TX.PB04,45.0,-0.34980020230243886,0.8145538392447149,PB01,PB04
TX.PB01_TX.PB04,49.0,0.08855103775086719,0.7806540265161491,PB01,PB04
TX.PB01_TX.PB04,53.0,-0.06084397845573647,0.8247584660965681,PB01,PB04
TX.PB01_TX.PB04,57.0,-0.454404292693862,0.8079284916615616,PB01,PB04
TX.PB01_TX.PB04,61.0,0.013713889920038256,0.78991403919705,PB01,PB04
TX.PB01_TX.PB04,65.0,-0.2797466094301656,0.8415324432058257,PB01,PB04
TX.PB01_TX.PB04,69.0,1.1024780445771083,0.7971637546377529,PB01,PB04
TX.PB01_TX.PB05,23.0,1.041000265358258,0.792283299533917,PB01,PB05
TX.PB01_TX.PB05,27.0,-0.3045030708168513,0.8144032849743593,PB01,PB05
TX.PB01_TX.PB05,31.0,0.45245245447308624,0.860600138981357,PB01,PB05
TX.PB01_TX.PB05,35.0,-0.15020691335729264,0.8297098946340229,PB01,PB05
TX.PB01_TX.PB05,39.0,0.5308661972454741,0.8151050841943125,PB01,PB05
TX.PB01_TX.PB05,43.0,0.20003099412747577,0.8019785352529334,PB01,PB05
TX.PB01_TX.PB05,47.0,0.566488211761315,0.8309551364462446,PB01,PB05
TX.PB01_TX.PB05,51.0,0.6619401743118479,0.8103220558042917,PB01,PB05
TX.PB01_TX.PB05,55.0,-0.5362152911492651,0.8406432497599134,PB01,PB05
TX.PB01_TX.PB05,59.0,0.01731883022535634,0.8004983438906299,PB01,PB05
TX.PB01_TX.PB05,63.0,0.5385311666208006,0.828190041068626,PB01,PB05
TX.PB01_TX.PB06,49.0,0.16958308365587002,0.8232280135104499,PB01,PB06
TX.PB01_TX.PB06,53.0,0.4572438279077615,0.8392037423916175,PB01,PB06
TX.PB01_TX.PB06,57.0,-0.0259221128511794,0.8219595846123678,PB01,PB06
TX.PB01_TX.PB06,61.0,0.6571839338276754,0.8388182982052323,PB01,PB06
TX.PB01_TX.PB06,65.0,-0.28559156274506614,0.8315996263550299,PB01,PB06
TX.PB01_TX.PB06,69.0,0.1360257149568448,0.8284075615593816,PB01,PB06
TX.PB01_TX.PB06,73.0,0.09358366733007507,0.7695264680803943,PB01,PB06
TX.PB01_TX.PB06,77.0,-0.0011813610097226362,0.7800333710673496,PB01,PB06
TX.PB01_TX.PB06,81.0,-0.881269664267468,0.8317098264149841,PB01,PB06
TX.PB01_TX.PB06,85.0,0.3821447617125842,0.8282199100521702,PB01,PB06
TX.PB01_TX.PB06,89.0,0.32213945221535817,0.7927982546135297,PB01,PB06
TX.PB01_TX.PB07,37.0,0.4801419095468781,0.8020128361420614,PB01,PB07
TX.PB01_TX.PB07,41.0,0.13921707387407087,0.844192650734455,PB01,PB07
TX.PB01_TX.PB07,45.0,0.39672338325500023,0.7869648111091789,PB01,PB07
TX.PB01_TX.PB07,49.0,0.1255305216760219,0.7935871773394022,PB01,PB07
TX.PB01_TX.PB07,53.0,-0.2492950453823398,0.8139847946055406,PB01,PB07
TX.PB01_TX.PB07,57.0,-0.014652997343986146,0.7783933318599305,PB01,PB07
TX.PB01_TX.PB07,61.0,-0.2739413734854844,0.8279829842896977,PB01,PB07
TX.PB01_TX.PB07,65.0,0.5815806034438843,0.8065837000210537,PB01,PB07
TX.PB01_TX.PB07,69.0,0.032791512379715726,0.8034545114431196,PB01,PB07
TX.PB01_TX.PB07,73.0,-0.3536714204371339,0.8189826173731892,PB01,PB07
TX.PB01_TX.PB07,77.0,0.5198964068824657,0.7925199048544846,PB01,PB07
TX.PB01_TX.PB08,43.0,0.5593827631993207,0.8231164719475316,PB01,PB08
TX.PB01_TX.PB08,47.0,0.005398666809673915,0.8342876257785523,PB01,PB08
TX.PB01_TX.PB08,51.0,-0.11824008709479404,0.7960397041562666,PB01,PB08
TX.PB01_TX.PB08,55.0,-0.6379116227390591,0.8296603384872298,PB01,PB08
TX.PB01_TX.PB08,59.0,-0.15414853159423988,0.7953286554569232,PB01,PB08
TX.PB01_TX.PB08,63.0,0.021288831224019526,0.7967278913807443,PB01,PB08
TX.PB01_TX.PB08,67.0,-0.5068794988367619,0.7907576824986019,PB01,PB08
TX.PB01_TX.PB08,71.0,1.2378969752264648,0.7652383421840496,PB01,PB08
TX.PB01_TX.PB08,75.0,-0.32830047054112366,0.8326881783616542,PB01,PB08
TX.PB01_TX.PB08,79.0,0.6125750301334956,0.7588080395463427,PB01,PB08
TX.PB01_TX.PB08,83.0,0.6389889527535222,0.7890422356909818,PB01,PB08
TX.PB01_TX.PB10,21.0,0.09608686647011634,0.8426080962987149,PB01,PB10
TX.PB01_TX.PB10,25.0,0.12012104076556436,0.7878003152585168,PB01,PB10
TX.PB01_TX.PB10,29.0,0.010287473766906308,0.7647354372697629,PB01,PB10
