station_pair,time,delay,coherence,station1,station2
TX.PB01_TX.PB03,17.0,0.8023771600842946,0.8425459283003593,PB01,PB03
TX.PB01_TX.PB03,21.0,0.1976359032928844,0.7541829624882843,PB01,PB03
TX.PB01_TX.PB03,25.0,0.20169242012442537,0.7747788144705897,PB01,PB03
TX.PB01_TX.PB03,29.0,-0.06242987474882321,0.8250531321776163,PB01,PB03
TX.PB01_TX.PB03,33.0,0.23388623250869076,0.8271991482038628,PB01,PB03
TX.PB01_TX.PB03,37.0,-0.08150693896820686,0.8160913440972478,PB01,PB03
TX.PB01_TX.PB03,41.0,0.43035957664486174,0.7616339009298274,PB01,PB03
TX.PB01_TX.PB03,45.0,-0.4073283466095596,0.7781723397018218,PB01,PB03
TX.PB01_TX.PB03,49.0,0.23191165017461077,0.8230902175104998,PB01,PB03
TX.PB01_TX.PB03,53.0,0.21498927424561257,0.8474174326632182,PB01,PB03
TX.PB01_TX.PB03,57.0,0.01274894727949172,0.8126067431437507,PB01,PB03
TX.PB01_TX.PB04,29.0,0.7525330590583805,0.7656607228280522,PB01,PB04
TX.PB01_TX.PB04,33.0,0.25452905321859676,0.7837861480372467,PB01,PB04
TX.PB01_TX.PB04,37.0,-0.09788865155447658,0.7836250945380931,PB01,PB04
TX.PB01_TX.PB04,41.0,0.2708472415184552,0.8276678531510148,PB01,PB04
TX.PB01_TX.PB04,45.0,-0.8061729021704996,0.7839917617904624,PB01,PB04
TX.PB01_TX.PB04,49.0,-0.21958226627452587,0.7601061938595753,PB01,PB04
TX.PB01_TX.PB04,53.0,-0.03147692818433508,0.8131838042597502,PB01,PB04
TX.PB01_TX.PB04,57.0,-0.42009690900867513,0.8481855212613838,PB01,PB04
TX.PB01_TX.PB04,61.0,-0.06576865652057848,0.800541734816283,PB01,PB04
TX.PB01_TX.PB04,65.0,-0.18014357373716647,0.8569760482067192,PB01,PB04
TX.PB01_TX.PB04,69.0,0.6744481226827409,0.8101551146941735,PB01,PB04
TX.PB01_TX.PB05,23.0,0.45702552059073326,0.7751161093868413,PB01,PB05
TX.PB01_TX.PB05,27.0,-0.03111773000598548,0.8265805450090595,PB01,PB05
TX.PB01_TX.PB05,31.0,0.0909945039690662,0.8631607127388176,PB01,PB05
TX.PB01_TX.PB05,35.0,0.03219470321042247,0.817882632918648,PB01,PB05
TX.PB01_TX.PB05,39.0,0.5450043569859355,0.843928483238175,PB01,PB05
TX.PB01_TX.PB05,43.0,0.034528327187037494,0.777786013880143,PB01,PB05
TX.PB01_TX.PB05,47.0,0.2482279910766041,0.856509248449091,PB01,PB05
TX.PB01_TX.PB05,51.0,0.24592088453191008,0.7935823043858015,PB01,PB05
TX.PB01_TX.PB05,55.0,-0.32651455967372084,0.824466907049163,PB01,PB05
TX.PB01_TX.PB05,59.0,-0.11352509968129224,0.800994440590049,PB01,PB05
TX.PB01_TX.PB05,63.0,0.3057662188947097,0.8364173219760797,PB01,PB05
TX.PB01_TX.PB06,49.0,-0.01157324481692395,0.8315553608145246,PB01,PB06
TX.PB01_TX.PB06,53.0,-0.08983787794353601,0.8500438469727151,PB01,PB06
TX.PB01_TX.PB06,57.0,0.06883065777752079,0.8326934842196525,PB01,PB06
TX.PB01_TX.PB06,61.0,0.8447049810933184,0.826669875183723,PB01,PB06
TX.PB01_TX.PB06,65.0,-0.38700311722738107,0.7961169894967891,PB01,PB06
TX.PB01_TX.PB06,69.0,0.28302132920767725,0.8307171307849343,PB01,PB06
TX.PB01_TX.PB06,73.0,-0.03641640987661158,0.8032623389369523,PB01,PB06
TX.PB01_TX.PB06,77.0,0.039236409096557914,0.7884808750029975,PB01,PB06
TX.PB01_TX.PB06,81.0,-0.5878053432300817,0.821902766252482,PB01,PB06
TX.PB01_TX.PB06,85.0,0.4360866682567699,0.8152472339822591,PB01,PB06
TX.PB01_TX.PB06,89.0,0.12111591347197012,0.8043717040361571,PB01,PB06
TX.PB01_TX.PB07,37.0,0.050575621368503715,0.7902363393980605,PB01,PB07
TX.PB01_TX.PB07,41.0,0.21750940578330155,0.8214544659594963,PB01,PB07
TX.PB01_TX.PB07,45.0,-0.2418264707265104,0.8068873939995118,PB01,PB07
TX.PB01_TX.PB07,49.0,0.13299985742647488,0.7819119714534982,PB01,PB07
TX.PB01_TX.PB07,53.0,0.11702442154945428,0.841042003582585,PB01,PB07
TX.PB01_TX.PB07,57.0,-0.6379765030048359,0.772627634169339,PB01,PB07
TX.PB01_TX.PB07,61.0,0.6900649200719933,0.799782550632344,PB01,PB07
TX.PB01_TX.PB07,65.0,0.7118788248510672,0.8111418432455975,PB01,PB07
TX.PB01_TX.PB07,69.0,0.32043653924587845,0.8110544519233807,PB01,PB07
TX.PB01_TX.PB07,73.0,-0.46852717611371486,0.809715579395065,PB01,PB07
TX.PB01_TX.PB07,77.0,0.08143185321029284,0.7842772939630887,PB01,PB07
TX.PB01_TX.PB08,43.0,0.36654831494927725,0.8378385244891381,PB01,PB08
TX.PB01_TX.PB08,47.0,0.08430989792990409,0.8231577661102151,PB01,PB08
TX.PB01_TX.PB08,51.0,-0.2986496665269962,0.8132112036919232,PB01,PB08
TX.PB01_TX.PB08,55.0,-0.33235205489095554,0.8260009236289912,PB01,PB08
TX.PB01_TX.PB08,59.0,0.45189017295667766,0.8004507415860818,PB01,PB08
TX.PB01_TX.PB08,63.0,0.27037229751540276,0.7602927637191165,PB01,PB08
TX.PB01_TX.PB08,67.0,-0.6432476305284088,0.818658195840452,PB01,PB08
TX.PB01_TX.PB08,71.0,1.3467332280564523,0.7593977743576829,PB01,PB08
TX.PB01_TX.PB08,75.0,-0.3221363359580008,0.8096920843721379,PB01,PB08
TX.PB01_TX.PB08,79.0,0.5214173837305092,0.7806814576980657,PB01,PB08
TX.PB01_TX.PB08,83.0,0.34320638803283593,0.7863613366622467,PB01,PB08
TX.PB01_TX.PB10,21.0,-0.1813423799999271,0.8522670701710181,PB01,PB10
TX.PB01_TX.PB10,25.0,0.1802576450366805,0.8030445516404185,PB01,PB10
TX.PB01_TX.PB10,29.0,0.3205566596458204,0.741537526286712,PB01,PB10
TX.PB01_TX.PB10,33.0,-0.693399946452534,0.8069452504505261,PB01,PB10
TX.PB01_TX.PB10,37.0,0.5828894086795874,0.861979840335097,PB01,PB10
TX.PB01_TX.PB10,41.0,-0.5723271426961752,0.7795728924643379,PB01,PB10
TX.PB01_TX.PB10,45.0,-0.1727826395076372,0.806277756397105,PB01,PB10
TX.PB01_TX.PB10,49.0,0.3907361231111711,0.8246373550868341,PB01,PB10
TX.PB01_TX.PB10,53.0,0.2913830485260903,0.7800375653226936,PB01,PB10
TX.PB01_TX.PB10,57.0,-0.904620247298056,0.8241519624366579,PB01,PB10
TX.PB01_TX.PB10,61.0,-0.3285590237522121,0.8321734530593966,PB01,PB10
TX.PB01_TX.PB12,19.0,-0.5873101288908988,0.8842833503703447,PB01,PB12
TX.PB01_TX.PB12,23.0,-0.29563348369214887,0.8585401703050365,PB01,PB12
TX.PB01_TX.PB12,27.0,0.21794357868386008,0.8548806494935967,PB01,PB12
TX.PB01_TX.PB12,31.0,-0.06300746662632582,0.8353193284266922,PB01,PB12
TX.PB01_TX.PB12,35.0,-0.46819244896019857,0.759181025302234,PB01,PB12
TX.PB01_TX.PB12,39.0,0.08587686712472636,0.7772949279391494,PB01,PB12
TX.PB01_TX.PB12,43.0,-0.1595268960831643,0.8189741354137859,PB01,PB12
TX.PB01_TX.PB12,47.0,-0.07740564772190536,0.7985967271480081,PB01,PB12
TX.PB01_TX.PB12,51.0,-0.1426838450191315,0.8318779832641018,PB01,PB12
